reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-92.57706640270993,-92.19157671486971,-92.11902619196816,-92.17717270804783,-92.00700506831889,-92.18272705581342,0,0.2802204489707947,30.816333770751953
-110.2221098874524,-109.08111050458461,-106.37701112354036,-106.69335582359699,-105.25976587375781,-98.63711775404013,8000,0.7734838724136353,27.18857192993164
-95.52330001861785,-97.13519954496078,-97.55742369814035,-118.29883139257117,-117.01744621544503,-115.24950826380893,10000,1.3291550874710083,23.746877670288086
